File: ferro-gw
Build ID: 03685a972842b301917b73b757b68b086fefc884
Type: cpu
Time: 2026-03-26 04:41:12 UTC
Duration: 30.15s, Total samples = 9.90s (32.83%)
Showing nodes accounting for 7.35s, 74.24% of 9.90s total
Dropped 432 nodes (cum <= 0.05s)
      flat  flat%   sum%        cum   cum%
         0     0% 74.24%      0.19s  1.92%  net/http.(*persistConn).Read
         0     0% 74.24%      0.55s  5.56%  net/http.(*persistConn).readLoop
         0     0% 74.24%      0.12s  1.21%  net/http.(*persistConn).readResponse
         0     0% 74.24%      0.65s  6.57%  net/http.(*persistConn).writeLoop
         0     0% 74.24%      0.05s  0.51%  net/http.(*response).Write
         0     0% 74.24%      0.88s  8.89%  net/http.(*response).finishRequest
         0     0% 74.24%      2.83s 28.59%  net/http.HandlerFunc.ServeHTTP
         0     0% 74.24%      0.05s  0.51%  net/http.Header.Clone (inline)
         0     0% 74.24%      0.06s  0.61%  net/http.Header.Get (inline)
         0     0% 74.24%      0.10s  1.01%  net/http.Header.Set (partial-inline)
         0     0% 74.24%      0.05s  0.51%  net/http.Header.WriteSubset (inline)
         0     0% 74.24%      0.12s  1.21%  net/http.ReadResponse
         0     0% 74.24%      0.70s  7.07%  net/http.checkConnErrorWriter.Write
         0     0% 74.24%      0.39s  3.94%  net/http.send
         0     0% 74.24%      2.86s 28.89%  net/http.serverHandler.ServeHTTP
         0     0% 74.24%      0.20s  2.02%  net/textproto.(*Reader).ReadLine (inline)
         0     0% 74.24%      0.15s  1.52%  net/textproto.(*Reader).ReadMIMEHeader (inline)
         0     0% 74.24%      0.06s  0.61%  net/textproto.MIMEHeader.Get
         0     0% 74.24%      0.06s  0.61%  net/url.parse
         0     0% 74.24%      0.30s  3.03%  reflect.(*rtype).String
         0     0% 74.24%      0.29s  2.93%  reflect.(*rtype).nameOff (inline)
         0     0% 74.24%      0.29s  2.93%  reflect.resolveNameOff
         0     0% 74.24%      0.07s  0.71%  runtime.chansend1
         0     0% 74.24%      0.36s  3.64%  runtime.entersyscall
         0     0% 74.24%      0.32s  3.23%  runtime.entersyscall_sysmon
         0     0% 74.24%      0.19s  1.92%  runtime.funcspdelta (inline)
         0     0% 74.24%      0.24s  2.42%  runtime.futexsleep
         0     0% 74.24%      0.54s  5.45%  runtime.futexwakeup
         0     0% 74.24%      0.28s  2.83%  runtime.gcBgMarkWorker
         0     0% 74.24%      0.27s  2.73%  runtime.gcBgMarkWorker.func2
         0     0% 74.24%      0.27s  2.73%  runtime.gcDrainMarkWorkerDedicated (inline)
         0     0% 74.24%      0.19s  1.92%  runtime.goexit0
         0     0% 74.24%      0.09s  0.91%  runtime.goready (inline)
         0     0% 74.24%      0.14s  1.41%  runtime.growslice
         0     0% 74.24%      0.07s  0.71%  runtime.heapSetTypeNoHeader (inline)
         0     0% 74.24%      0.14s  1.41%  runtime.lock (inline)
         0     0% 74.24%      0.14s  1.41%  runtime.lockWithRank (inline)
         0     0% 74.24%      0.23s  2.32%  runtime.mPark (inline)
         0     0% 74.24%      1.36s 13.74%  runtime.main
         0     0% 74.24%      0.09s  0.91%  runtime.netpollBreak
         0     0% 74.24%      0.06s  0.61%  runtime.netpollopen
         0     0% 74.24%      0.14s  1.41%  runtime.newproc
         0     0% 74.24%      0.14s  1.41%  runtime.newproc.func1
         0     0% 74.24%      0.70s  7.07%  runtime.newstack
         0     0% 74.24%      0.23s  2.32%  runtime.notesleep
         0     0% 74.24%      0.53s  5.35%  runtime.notewakeup
         0     0% 74.24%      0.89s  8.99%  runtime.park_m
         0     0% 74.24%      0.09s  0.91%  runtime.ready
         0     0% 74.24%      0.06s  0.61%  runtime.resetspinning
         0     0% 74.24%      0.08s  0.81%  runtime.send
         0     0% 74.24%      0.08s  0.81%  runtime.send.goready.func1
         0     0% 74.24%      0.25s  2.53%  runtime.startm
         0     0% 74.24%      0.23s  2.32%  runtime.stopm
         0     0% 74.24%      0.21s  2.12%  runtime.unlockWithRank (inline)
         0     0% 74.24%      0.09s  0.91%  runtime.write
         0     0% 74.24%      1.27s 12.83%  runtime/trace.WithRegion
         0     0% 74.24%      0.64s  6.46%  syscall.Accept4
         0     0% 74.24%      0.57s  5.76%  syscall.Close
         0     0% 74.24%      0.50s  5.05%  syscall.Read (inline)
         0     0% 74.24%      0.29s  2.93%  syscall.SetsockoptInt (inline)
         0     0% 74.24%      1.13s 11.41%  syscall.Write (inline)
         0     0% 74.24%      0.62s  6.26%  syscall.accept4
         0     0% 74.24%      0.29s  2.93%  syscall.setsockopt
         0     0% 74.24%      1.13s 11.41%  syscall.write
